0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:26 +0530] "GET /Ecommerce_frontend/resources/css/ss.css HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:26 +0530] "GET /Ecommerce_frontend/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:26 +0530] "GET /Ecommerce_frontend/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:26 +0530] "GET /Ecommerce_frontend/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:26 +0530] "GET /Ecommerce_frontend/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:26 +0530] "GET /Ecommerce_frontend/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:26 +0530] "GET /Ecommerce_frontend/resources/images/lexus.png HTTP/1.1" 200 14827
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:26 +0530] "GET /Ecommerce_frontend/resources/images/CAR4.jpg HTTP/1.1" 200 296805
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:26 +0530] "GET /Ecommerce_frontend/resources/images/CAR2.png HTTP/1.1" 200 252682
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:26 +0530] "GET /Ecommerce_frontend/resources/images/CAR3.jpg HTTP/1.1" 200 93759
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:27 +0530] "GET /Ecommerce_frontend/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [11/Dec/2017:10:40:35 +0530] "GET /Ecommerce_frontend/categoryproductlist?id=2001 HTTP/1.1" 200 5148
